date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:44	152361/152361	---M--	200	added ('OK')	application/pdf	etag:%2225329-63ee9262da936%22	https://portfolio-younes.fr/assets/Lettre_Motivation.pdf	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/Lettre_Motivation.pdf	(from https://portfolio-younes.fr/)
19:40:44	2874/2874	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a-63255455e7152%22	https://portfolio-younes.fr/assets/img/code.svg	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/img/code.svg	(from https://portfolio-younes.fr/)
19:40:44	3024/3024	---M--	200	added ('OK')	image/svg+xml	etag:%22bd0-63255462fda86%22	https://portfolio-younes.fr/assets/img/workflows.svg	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/img/workflows.svg	(from https://portfolio-younes.fr/)
19:40:44	333966/333966	---MCZ	200	added ('OK')	application/javascript	etag:W/%225188e-UkM0VxZkZJFxYkHfNtBYEIxE31A%22	https://cdn.lordicon.com/lordicon.js	C:/My%20Web%20Sites/portfolio_sansika/cdn.lordicon.com/lordicon.js	(from https://portfolio-younes.fr/)
19:40:45	5417/5417	---M--	200	added ('OK')	text/javascript	etag:%221529-6325547824adf%22	https://portfolio-younes.fr/assets/vendor/purecounter/purecounter_vanilla.js	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/purecounter/purecounter_vanilla.js	(from https://portfolio-younes.fr/)
19:40:45	13800/13800	---M--	200	added ('OK')	text/javascript	etag:%2235e8-632554731b9f0%22	https://portfolio-younes.fr/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/aos/aos.js	(from https://portfolio-younes.fr/)
19:40:45	80721/80721	---M--	200	added ('OK')	text/javascript	etag:%2213b51-632554b5fca8f%22	https://portfolio-younes.fr/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://portfolio-younes.fr/)
19:40:45	56300/56300	---M--	200	added ('OK')	text/javascript	etag:%22dbec-632554d130813%22	https://portfolio-younes.fr/assets/vendor/glightbox/js/glightbox.min.js	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/glightbox/js/glightbox.min.js	(from https://portfolio-younes.fr/)
19:40:46	35445/35445	---M--	200	added ('OK')	text/javascript	etag:%228a75-63255476e6523%22	https://portfolio-younes.fr/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://portfolio-younes.fr/)
19:40:46	149748/149748	---M--	200	added ('OK')	text/javascript	etag:%22248f4-63255479a477a%22	https://portfolio-younes.fr/assets/vendor/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/swiper/swiper-bundle.min.js	(from https://portfolio-younes.fr/)
19:40:46	2734/2734	---M--	200	added ('OK')	text/javascript	etag:%22aae-6325547820c5f%22	https://portfolio-younes.fr/assets/vendor/php-email-form/validate.js	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/php-email-form/validate.js	(from https://portfolio-younes.fr/)
19:40:46	6268/6268	---M--	200	added ('OK')	text/javascript	etag:%22187c-632554641eb83%22	https://portfolio-younes.fr/assets/js/main.js	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/js/main.js	(from https://portfolio-younes.fr/)
19:40:47	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Nov%202025%2018:40:47%20GMT	https://portfolio-younes.fr/assets/css/fonts/icomoon.eot?1oniuf	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/css/fonts/icomoon6029.eot	(from https://portfolio-younes.fr/assets/css/icomoon.css)
19:40:47	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Nov%202025%2018:40:47%20GMT	https://portfolio-younes.fr/assets/css/fonts/icomoon.ttf?1oniuf	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/css/fonts/icomoon6029.ttf	(from https://portfolio-younes.fr/assets/css/icomoon.css)
19:40:47	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Nov%202025%2018:40:47%20GMT	https://portfolio-younes.fr/assets/css/fonts/icomoon.woff?1oniuf	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/css/fonts/icomoon6029.woff	(from https://portfolio-younes.fr/assets/css/icomoon.css)
19:40:47	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Nov%202025%2018:40:47%20GMT	https://portfolio-younes.fr/assets/css/fonts/icomoon.svg?1oniuf	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/css/fonts/icomoon6029.svg	(from https://portfolio-younes.fr/assets/css/icomoon.css)
19:40:48	405670/405670	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22630a6-632554c58535a%22	https://portfolio-younes.fr/assets/vendor/boxicons/fonts/boxicons.eot	C:/My%20Web%20Sites/portfolio_sansika/portfolio-younes.fr/assets/vendor/boxicons/fonts/boxicons.eot	(from https://portfolio-younes.fr/assets/vendor/boxicons/css/boxicons.min.css)
